Beat,District,Community Area,Homicide Count
1124,11,,1
2113,9,34,1
2223,22,49,1
925,9,,1
235,2,42,1
2032,20,4,1
1931,19,7,1
1531,15,,1
2124,2,41,1
1222,12,,1
1922,19,4,1
1913,19,,1
2112,2,35,1
612,6,68,1
612,6,,1
925,9,60,1
1311,12,,1
2433,24,,1
234,2,,1
1713,17,,1
724,7,,1
2535,25,,1
1431,14,,1
1814,18,,1
1824,18,,1
1732,17,,1
224,2,,1
911,9,,1
331,7,43,1
2132,2,39,1
2012,20,4,1
1312,12,,1
2011,20,,1
821,8,,1
1622,16,10,1
821,8,63,1
2523,25,20,1
215,2,37,1
314,3,,1
1331,12,,1
1112,11,,1
434,4,,1
213,2,34,1
2533,25,,1
1614,16,17,1
923,9,31,1
124,1,32,1
324,3,,1
2221,22,,1
1522,15,,1
2032,20,,1
2524,25,,1
1013,25,,1
825,8,,1
1924,19,,1
2322,19,,1
1135,11,,1
1212,12,,1
113,1,,1
1931,19,6,1
1223,12,24,1
2432,24,,1
311,3,,1
911,9,30,1
1915,19,3,1
611,6,67,1
1722,17,15,1
1413,10,,1
1011,25,,1
321,3,,1
2534,25,,1
412,4,44,1
1612,16,9,1
2211,22,72,1
2431,7,,1
225,2,37,1
1433,14,,1
433,4,51,1
2323,19,3,1
1922,19,3,1
1211,12,,1
2532,25,,1
924,9,,1
1932,19,7,1
622,6,,1
412,4,47,1
213,2,,1
1222,12,28,1
421,4,46,1
1423,14,,1
913,9,31,1
922,9,60,1
2523,25,,1
913,9,30,1
2123,2,,1
2223,22,,1
2533,25,19,1
212,2,,1
1621,16,11,1
